
[34m[1mwandb[39m[22m: [33mWARNING[39m Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=12549, length=970, survival=12.029%, return=-1.6715352833271027
global_step=12561, length=521, survival=6.461%, return=-1.7995184659957886
global_step=12576, length=816, survival=10.119%, return=1.0942339897155762
global_step=12579, length=797, survival=9.883%, return=-3.0
global_step=12585, length=233, survival=2.889%, return=-2.6602364778518677
global_step=12633, length=520, survival=6.448%, return=10.067765057086945
global_step=12636, length=1100, survival=13.641%, return=3.4629522562026978
global_step=12642, length=233, survival=2.889%, return=-1.7823442220687866
global_step=12657, length=544, survival=6.746%, return=5.412748381495476
global_step=12660, length=413, survival=5.122%, return=-1.011679232120514
global_step=12666, length=387, survival=4.799%, return=-0.13908736407756805
global_step=12708, length=533, survival=6.610%, return=2.535680830478668
global_step=12711, length=533, survival=6.610%, return=1.5932565033435822
global_step=12717, length=820, survival=10.169%, return=3.7170493602752686
global_step=12747, length=805, survival=9.983%, return=-2.3113216757774353
global_step=12786, length=385, survival=4.774%, return=0.2640654146671295
global_step=12801, length=5, survival=0.062%, return=-1.1637528538703918
global_step=12819, length=719, survival=8.916%, return=12.182934939861298
global_step=12849, length=1390, survival=17.237%, return=135.78741824626923
global_step=12867, length=519, survival=6.436%, return=-0.9564765095710754
global_step=12885, length=1117, survival=13.852%, return=188.23483492434025
global_step=12891, length=395, survival=4.898%, return=-0.06411734223365784
global_step=12903, length=6, survival=0.074%, return=-1.2158422768115997
global_step=12942, length=828, survival=10.268%, return=4.801790356636047
global_step=12957, length=663, survival=8.222%, return=65.39537188410759
global_step=12996, length=496, survival=6.151%, return=1.2954464852809906
global_step=13002, length=827, survival=10.255%, return=5.556187272071838
global_step=13068, length=736, survival=9.127%, return=6.784944117069244
global_step=13101, length=1094, survival=13.566%, return=270.1347253918648
global_step=13107, length=233, survival=2.889%, return=-2.664478689432144
global_step=13113, length=754, survival=9.350%, return=28.460937052965164
global_step=13161, length=702, survival=8.705%, return=3.5560641288757324
global_step=13212, length=1036, survival=12.847%, return=19.24452230334282
global_step=13230, length=1003, survival=12.438%, return=270.9627643227577
global_step=13338, length=43, survival=0.533%, return=11.928777009248734
global_step=13344, length=229, survival=2.840%, return=-2.66312974691391
global_step=13416, length=819, survival=10.156%, return=137.6741381585598
global_step=13494, length=997, survival=12.364%, return=87.78696629405022
global_step=13542, length=1115, survival=13.827%, return=37.61613553762436
global_step=13545, length=419, survival=5.196%, return=3.856375515460968
global_step=13572, length=1558, survival=19.320%, return=0.7247496247291565
global_step=13593, length=398, survival=4.936%, return=-0.5989396572113037
global_step=13614, length=1108, survival=13.740%, return=2.165207326412201
global_step=13659, length=1437, survival=17.820%, return=17.988866925239563
global_step=13710, length=1113, survival=13.802%, return=526.1508010327816
global_step=13713, length=547, survival=6.783%, return=191.7151029407978
global_step=13767, length=787, survival=9.759%, return=5.38538533449173
global_step=13770, length=827, survival=10.255%, return=142.51781526207924
global_step=13788, length=518, survival=6.424%, return=-0.9065277874469757
global_step=13806, length=383, survival=4.750%, return=-0.8830397129058838
global_step=13869, length=824, survival=10.218%, return=4.75096869468689
global_step=13878, length=1251, survival=15.513%, return=68.72049680352211
global_step=13902, length=808, survival=10.020%, return=0.6755097806453705
global_step=13941, length=528, survival=6.548%, return=183.9532376229763
global_step=13971, length=670, survival=8.309%, return=116.56929025053978
global_step=14031, length=1123, survival=13.926%, return=7.862173706293106
global_step=14184, length=847, survival=10.503%, return=54.67517480254173
global_step=14217, length=908, survival=11.260%, return=27.89392127096653
global_step=14259, length=807, survival=10.007%, return=133.46001839637756
global_step=14277, length=530, survival=6.572%, return=247.18618622422218
global_step=14289, length=763, survival=9.462%, return=151.68191760778427
global_step=14316, length=984, survival=12.202%, return=1.2496959567070007
global_step=14373, length=1126, survival=13.963%, return=140.08101719617844
global_step=14517, length=1124, survival=13.938%, return=325.26805475354195
global_step=14655, length=543, survival=6.734%, return=20.20550626516342
global_step=14661, length=229, survival=2.840%, return=-2.6638928055763245
global_step=15240, length=1362, survival=16.890%, return=123.01574039459229
global_step=15267, length=1210, survival=15.005%, return=318.41932490468025
global_step=15393, length=812, survival=10.069%, return=14.370096206665039
global_step=15408, length=957, survival=11.868%, return=267.89129880070686
global_step=15450, length=1171, survival=14.521%, return=129.4270559847355
global_step=15489, length=547, survival=6.783%, return=7.759434759616852
global_step=15669, length=524, survival=6.498%, return=66.90753138065338
global_step=15714, length=3031, survival=37.587%, return=1000.5033074617386
global_step=15723, length=959, survival=11.892%, return=82.15475657582283
global_step=16404, length=786, survival=9.747%, return=120.73225945234299
global_step=16620, length=5678, survival=70.412%, return=2460.7854965627193
global_step=16704, length=1876, survival=23.264%, return=126.89229473471642
global_step=16863, length=470, survival=5.828%, return=23.437642633914948
global_step=16893, length=954, survival=11.830%, return=50.57680878043175
global_step=16896, length=609, survival=7.552%, return=28.84397554397583
global_step=16992, length=547, survival=6.783%, return=9.029394805431366
global_step=17106, length=1005, survival=12.463%, return=224.42515614628792
global_step=17112, length=232, survival=2.877%, return=-2.6630769073963165
global_step=17412, length=1141, survival=14.149%, return=288.20322650671005
global_step=17595, length=567, survival=7.031%, return=62.027500197291374
global_step=17610, length=1690, survival=20.957%, return=447.70567977428436
global_step=17823, length=1362, survival=16.890%, return=162.06105583906174
global_step=17829, length=799, survival=9.908%, return=-2.605735957622528
global_step=17844, length=2709, survival=33.594%, return=939.1173503100872
global_step=17907, length=2629, survival=32.602%, return=1022.9912088215351
global_step=17943, length=3115, survival=38.628%, return=1053.3140963315964
global_step=18066, length=1109, survival=13.752%, return=320.312884837389
global_step=18087, length=470, survival=5.828%, return=17.30479072034359
global_step=18114, length=16, survival=0.198%, return=2.658274292945862
global_step=18135, length=720, survival=8.929%, return=7.6278897523880005
global_step=18297, length=70, survival=0.868%, return=23.66732081770897
global_step=18351, length=821, survival=10.181%, return=3.966935873031616
global_step=18462, length=1257, survival=15.588%, return=209.03933888673782
global_step=18498, length=390, survival=4.836%, return=1.3552249670028687
global_step=18504, length=233, survival=2.889%, return=-2.664478689432144
global_step=18522, length=809, survival=10.032%, return=-0.8822474777698517
global_step=18582, length=267, survival=3.311%, return=10.775064289569855
global_step=18585, length=498, survival=6.176%, return=5.406256943941116
global_step=18744, length=584, survival=7.242%, return=27.421410709619522
global_step=18828, length=2682, survival=33.259%, return=700.6656683385372
global_step=19209, length=1197, survival=14.844%, return=168.50938300788403
global_step=19362, length=2851, survival=35.355%, return=855.9874512553215
global_step=19713, length=797, survival=9.883%, return=125.55544565618038
global_step=19824, length=887, survival=11.000%, return=141.67882408946753
global_step=20016, length=462, survival=5.729%, return=74.74269522726536
SPS=51
global_step=20103, length=1591, survival=19.730%, return=507.6552655994892
global_step=20184, length=543, survival=6.734%, return=7.406418412923813
global_step=20259, length=1291, survival=16.009%, return=90.14032420516014
global_step=20373, length=667, survival=8.271%, return=72.09687042236328
global_step=20379, length=518, survival=6.424%, return=-2.6080730259418488
SPS=50
global_step=20478, length=147, survival=1.823%, return=9.92748048901558
global_step=20571, length=415, survival=5.146%, return=10.092093914747238
global_step=20607, length=1105, survival=13.703%, return=1.9203421473503113
SPS=50
global_step=20727, length=1838, survival=22.793%, return=473.09804195165634
global_step=20844, length=701, survival=8.693%, return=80.7675468325615
SPS=50
global_step=21036, length=982, survival=12.178%, return=85.58078175783157
global_step=21099, length=816, survival=10.119%, return=5.208142459392548
global_step=21132, length=409, survival=5.072%, return=1.457605093717575
global_step=21144, length=645, survival=7.999%, return=47.405957758426666
global_step=21150, length=520, survival=6.448%, return=-2.7083722352981567
global_step=21153, length=2961, survival=36.719%, return=966.2105052471161
global_step=21252, length=834, survival=10.342%, return=10.723559558391571
global_step=21279, length=545, survival=6.758%, return=14.575658410787582
global_step=21294, length=387, survival=4.799%, return=1.820527344942093
SPS=50
global_step=21330, length=313, survival=3.881%, return=31.033010005950928
global_step=21432, length=856, survival=10.615%, return=15.661599338054657
SPS=50
global_step=21636, length=1102, survival=13.666%, return=339.06879153847694
global_step=21705, length=1064, survival=13.194%, return=161.46390935778618
global_step=21843, length=2514, survival=31.176%, return=703.0528406202793
global_step=21846, length=759, survival=9.412%, return=110.32590153813362
SPS=50
SPS=50
global_step=22215, length=631, survival=7.825%, return=44.44953328371048
global_step=22290, length=526, survival=6.523%, return=64.92068734765053
global_step=22344, length=980, survival=12.153%, return=201.75213038921356
global_step=22362, length=960, survival=11.905%, return=-1.0687636137008667
global_step=22365, length=525, survival=6.510%, return=39.644087582826614
SPS=50
global_step=22737, length=578, survival=7.168%, return=41.44532744586468
global_step=22740, length=1088, survival=13.492%, return=-3.0
SPS=50
