global_step=5, length=400, survival=4.960%, return=-3.0
global_step=1595, length=526, survival=6.523%, return=4.028988480567932
global_step=1665, length=392, survival=4.861%, return=2.5800208151340485
global_step=1670, length=799, survival=9.908%, return=-3.0
global_step=1675, length=409, survival=5.072%, return=-2.600262314081192
global_step=1680, length=1000, survival=12.401%, return=6.5316325426101685
global_step=1685, length=1093, survival=13.554%, return=-3.196049779653549
global_step=1700, length=792, survival=9.821%, return=-2.3872664719820023
global_step=1715, length=398, survival=4.936%, return=5.276670262217522
global_step=1785, length=711, survival=8.817%, return=3.442203849554062
global_step=1850, length=478, survival=5.928%, return=43.9087136387825
global_step=1855, length=558, survival=6.920%, return=12.342811435461044
global_step=1860, length=1091, survival=13.529%, return=-3.0
global_step=1865, length=3143, survival=38.976%, return=10.825969576835632
global_step=1875, length=241, survival=2.989%, return=-2.6562315225601196
global_step=1890, length=692, survival=8.581%, return=-1.0475380420684814
global_step=2040, length=36, survival=0.446%, return=10.41785991191864
global_step=2290, length=2605, survival=32.304%, return=21.159080311656
global_step=2365, length=140, survival=1.736%, return=2.510702431201935
global_step=2575, length=1285, survival=15.935%, return=215.14748549461365
global_step=2580, length=232, survival=2.877%, return=-3.0
global_step=2585, length=1142, survival=14.162%, return=349.6995352357626
global_step=2790, length=725, survival=8.991%, return=16.15995568037033
global_step=3055, length=703, survival=8.718%, return=83.47445732355118
global_step=3065, length=228, survival=2.827%, return=-2.6683554649353027
global_step=3205, length=1100, survival=13.641%, return=46.87712746858597
global_step=3825, length=1293, survival=16.034%, return=410.6916786432266
global_step=3830, length=665, survival=8.247%, return=121.50782178342342
